CMVAv2;OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula 
3, iterativefit, central, 0, 0.0, 2.4, 20, 30, -0.93375, -0.78625, "3.46146+(2.64343*x)"
3, iterativefit, central, 0, 0.0, 2.4, 20, 30, -0.78625, -0.64, "-0.307761+(-2.15049*x)"
3, iterativefit, central, 0, 0.0, 2.4, 20, 30, -0.64, -0.49, "0.384471+(-1.06888*x)"
3, iterativefit, central, 0, 0.0, 2.4, 20, 30, -0.49, -0.34, "1.82154+(1.86391*x)"
3, iterativefit, central, 0, 0.0, 2.4, 20, 30, -0.34, -0.19, "0.593247+(-1.74872*x)"
3, iterativefit, central, 0, 0.0, 2.4, 20, 30, -0.19, -0.04, "1.07381+(0.780564*x)"
3, iterativefit, central, 0, 0.0, 2.4, 20, 30, -0.04, 0.11, "1.01187+(-0.768048*x)"
3, iterativefit, central, 0, 0.0, 2.4, 20, 30, 0.11, 0.254, "0.834976+(0.840044*x)"
3, iterativefit, central, 0, 0.0, 2.4, 20, 30, 0.254, 0.392, "1.40104+(-1.38854*x)"
3, iterativefit, central, 0, 0.0, 2.4, 20, 30, 0.392, 0.53, "-0.436606+(3.29932*x)"
3, iterativefit, central, 0, 0.0, 2.4, 20, 30, 0.53, 0.668, "1.4886+(-0.333148*x)"
3, iterativefit, central, 0, 0.0, 2.4, 20, 30, 0.668, 0.806, "1.80863+(-0.812227*x)"
3, iterativefit, central, 0, 0.0, 2.4, 20, 30, 0.806, 0.8885, "5.32643+(-5.17674*x)"
3, iterativefit, central, 0, 0.0, 2.4, 20, 30, 0.8885, 0.9155, "-6.98581+(8.68059*x)"
3, iterativefit, central, 0, 0.0, 2.4, 20, 30, 0.9155, 0.9425, "-1.12353+(2.27722*x)"
3, iterativefit, central, 0, 0.0, 2.4, 20, 30, 0.9425, 0.9695, "8.44011+(-7.86988*x)"
3, iterativefit, central, 0, 0.0, 2.4, 20, 30, 0.9695, 0.9965, "1.28298+(-0.487584*x)"
3, iterativefit, central, 0, 0.0, 2.4, 20, 30, 0.9965, 1.1, "0.798002"
3, iterativefit, up_jes, 0, 0.0, 2.4, 20, 30, -1.1, -0.93375, "0.90516"
3, iterativefit, up_jes, 0, 0.0, 2.4, 20, 30, -0.93375, -0.78625, "2.80698+(2.03467*x)"
3, iterativefit, up_jes, 0, 0.0, 2.4, 20, 30, -0.78625, -0.64, "0.165073+(-1.32546*x)"
3, iterativefit, up_jes, 0, 0.0, 2.4, 20, 30, -0.64, -0.49, "0.548993+(-0.72558*x)"
3, iterativefit, up_jes, 0, 0.0, 2.4, 20, 30, -0.49, -0.34, "1.6364+(1.49361*x)"
3, iterativefit, up_jes, 0, 0.0, 2.4, 20, 30, -0.34, -0.19, "0.669601+(-1.34991*x)"
3, iterativefit, up_jes, 0, 0.0, 2.4, 20, 30, -0.19, -0.04, "1.06838+(0.748918*x)"
3, iterativefit, up_jes, 0, 0.0, 2.4, 20, 30, -0.04, 0.11, "1.03079+(-0.190862*x)"
3, iterativefit, up_jes, 0, 0.0, 2.4, 20, 30, 0.11, 0.254, "0.948104+(0.560795*x)"
3, iterativefit, up_jes, 0, 0.0, 2.4, 20, 30, 0.254, 0.392, "1.44647+(-1.40127*x)"
3, iterativefit, up_jes, 0, 0.0, 2.4, 20, 30, 0.392, 0.53, "-0.553259+(3.70008*x)"
3, iterativefit, up_jes, 0, 0.0, 2.4, 20, 30, 0.53, 0.668, "1.8248+(-0.786835*x)"
3, iterativefit, up_jes, 0, 0.0, 2.4, 20, 30, 0.668, 0.806, "1.69297+(-0.589479*x)"
3, iterativefit, up_jes, 0, 0.0, 2.4, 20, 30, 0.806, 0.8885, "6.34421+(-6.36024*x)"
3, iterativefit, up_jes, 0, 0.0, 2.4, 20, 30, 0.8885, 0.9155, "-10.1693+(12.2256*x)"
3, iterativefit, up_jes, 0, 0.0, 2.4, 20, 30, 0.9155, 0.9425, "-0.206215+(1.34291*x)"
3, iterativefit, up_jes, 0, 0.0, 2.4, 20, 30, 0.9425, 0.9695, "8.2373+(-7.61572*x)"
3, iterativefit, up_jes, 0, 0.0, 2.4, 20, 30, 0.9695, 0.9965, "0.46161+(0.404586*x)"
3, iterativefit, up_jes, 0, 0.0, 2.4, 20, 30, 0.9965, 1.1, "0.862932"
3, iterativefit, down_jes, 0, 0.0, 2.4, 20, 30, -1.1, -0.93375, "1.10072"
3, iterativefit, down_jes, 0, 0.0, 2.4, 20, 30, -0.93375, -0.78625, "3.44319+(2.51378*x)"
3, iterativefit, down_jes, 0, 0.0, 2.4, 20, 30, -0.78625, -0.64, "-0.424155+(-2.40494*x)"
3, iterativefit, down_jes, 0, 0.0, 2.4, 20, 30, -0.64, -0.49, "0.222638+(-1.39432*x)"
3, iterativefit, down_jes, 0, 0.0, 2.4, 20, 30, -0.49, -0.34, "1.91685+(2.06325*x)"
3, iterativefit, down_jes, 0, 0.0, 2.4, 20, 30, -0.34, -0.19, "0.621357+(-1.74702*x)"
