cTag;OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula 
1,TnP,down,0,-2.5,2.5,200.0,600.0,0.0,1.0,"0.84564"
1,TnP,up,0,-2.5,2.5,200.0,600.0,0.0,1.0,"1.2818"
2,TnP,central,0,-2.5,2.5,30.0,60.0,0.0,1.0,"0.93483"
2,TnP,down,0,-2.5,2.5,30.0,60.0,0.0,1.0,"0.79873"
2,TnP,up,0,-2.5,2.5,30.0,60.0,0.0,1.0,"1.0709"
2,TnP,central,0,-2.5,2.5,60.0,100.0,0.0,1.0,"0.99822"
2,TnP,down,0,-2.5,2.5,60.0,100.0,0.0,1.0,"0.88438"
2,TnP,up,0,-2.5,2.5,60.0,100.0,0.0,1.0,"1.1121"
2,TnP,central,0,-2.5,2.5,100.0,140.0,0.0,1.0,"0.84253"
2,TnP,down,0,-2.5,2.5,100.0,140.0,0.0,1.0,"0.74337"
2,TnP,up,0,-2.5,2.5,100.0,140.0,0.0,1.0,"0.94169"
2,TnP,central,0,-2.5,2.5,140.0,200.0,0.0,1.0,"0.95646"
2,TnP,down,0,-2.5,2.5,140.0,200.0,0.0,1.0,"0.83339"
2,TnP,up,0,-2.5,2.5,140.0,200.0,0.0,1.0,"1.0795"
2,TnP,central,0,-2.5,2.5,200.0,600.0,0.0,1.0,"0.75254"
2,TnP,down,0,-2.5,2.5,200.0,600.0,0.0,1.0,"0.56019"
2,TnP,up,0,-2.5,2.5,200.0,600.0,0.0,1.0,"0.94488"
0, incl, central, 2, 0, 2.5, 20, 1000, 0, 1, "0.980822+8.9117e-05*x+-2.07063e-07*x*x+1.30409e-10*x*x*x" 
0, incl, down, 2, 0, 2.5, 20, 1000, 0, 1, "(0.980822+8.9117e-05*x+-2.07063e-07*x*x+1.30409e-10*x*x*x)*(1-(0.00394717+2.77132e-05*x+-1.55861e-08*x*x))" 
0, incl, down_correlated, 2, 0, 2.5, 20, 1000, 0, 1, "(0.980822+8.9117e-05*x+-2.07063e-07*x*x+1.30409e-10*x*x*x)*(1-(0.00396913+2.76746e-05*x+-1.55777e-08*x*x))" 
0, incl, down_uncorrelated, 2, 0, 2.5, 20, 1000, 0, 1, "(0.980822+8.9117e-05*x+-2.07063e-07*x*x+1.30409e-10*x*x*x)*(1-(0))" 
0, incl, up, 2, 0, 2.5, 20, 1000, 0, 1, "(0.980822+8.9117e-05*x+-2.07063e-07*x*x+1.30409e-10*x*x*x)*(1+(0.00394717+2.77132e-05*x+-1.55861e-08*x*x))" 
0, incl, up_correlated, 2, 0, 2.5, 20, 1000, 0, 1, "(0.980822+8.9117e-05*x+-2.07063e-07*x*x+1.30409e-10*x*x*x)*(1+(0.00396913+2.76746e-05*x+-1.55777e-08*x*x))" 
0, incl, up_uncorrelated, 2, 0, 2.5, 20, 1000, 0, 1, "(0.980822+8.9117e-05*x+-2.07063e-07*x*x+1.30409e-10*x*x*x)*(1+(0))" 
1, incl, central, 2, 0, 2.5, 20, 1000, 0, 1, "1.00244+0.000381616*x+-7.89223e-07*x*x+4.30953e-10*x*x*x" 
1, incl, down, 2, 0, 2.5, 20, 1000, 0, 1, "(1.00244+0.000381616*x+-7.89223e-07*x*x+4.30953e-10*x*x*x)*(1-(0.00743904+3.37789e-05*x+-2.53831e-08*x*x))" 
1, incl, down_correlated, 2, 0, 2.5, 20, 1000, 0, 1, "(1.00244+0.000381616*x+-7.89223e-07*x*x+4.30953e-10*x*x*x)*(1-(0.00801471+3.2547e-05*x+-2.50037e-08*x*x))" 
1, incl, down_uncorrelated, 2, 0, 2.5, 20, 1000, 0, 1, "(1.00244+0.000381616*x+-7.89223e-07*x*x+4.30953e-10*x*x*x)*(1-(0))" 
1, incl, up, 2, 0, 2.5, 20, 1000, 0, 1, "(1.00244+0.000381616*x+-7.89223e-07*x*x+4.30953e-10*x*x*x)*(1+(0.00743904+3.37789e-05*x+-2.53831e-08*x*x))" 
1, incl, up_correlated, 2, 0, 2.5, 20, 1000, 0, 1, "(1.00244+0.000381616*x+-7.89223e-07*x*x+4.30953e-10*x*x*x)*(1+(0.00801471+3.2547e-05*x+-2.50037e-08*x*x))" 
1, incl, up_uncorrelated, 2, 0, 2.5, 20, 1000, 0, 1, "(1.00244+0.000381616*x+-7.89223e-07*x*x+4.30953e-10*x*x*x)*(1+(0))" 
2, incl, central, 2, 0, 2.5, 20, 1000, 0, 1, "0.780317+0.0015447*x+-2.84353e-06*x*x+1.88533e-09*x*x*x" 
2, incl, down, 2, 0, 2.5, 20, 1000, 0, 1, "(0.780317+0.0015447*x+-2.84353e-06*x*x+1.88533e-09*x*x*x)*(1-(0.13392+2.18779e-05*x+9.24653e-09*x*x))" 
2, incl, down_correlated, 2, 0, 2.5, 20, 1000, 0, 1, "(0.780317+0.0015447*x+-2.84353e-06*x*x+1.88533e-09*x*x*x)*(1-(0.142407+-8.68171e-06*x+3.53627e-08*x*x))" 
2, incl, down_uncorrelated, 2, 0, 2.5, 20, 1000, 0, 1, "(0.780317+0.0015447*x+-2.84353e-06*x*x+1.88533e-09*x*x*x)*(1-(0))" 
2, incl, up, 2, 0, 2.5, 20, 1000, 0, 1, "(0.780317+0.0015447*x+-2.84353e-06*x*x+1.88533e-09*x*x*x)*(1+(0.13392+2.18779e-05*x+9.24653e-09*x*x))" 
2, incl, up_correlated, 2, 0, 2.5, 20, 1000, 0, 1, "(0.780317+0.0015447*x+-2.84353e-06*x*x+1.88533e-09*x*x*x)*(1+(0.142407+-8.68171e-06*x+3.53627e-08*x*x))" 
2, incl, up_uncorrelated, 2, 0, 2.5, 20, 1000, 0, 1, "(0.780317+0.0015447*x+-2.84353e-06*x*x+1.88533e-09*x*x*x)*(1+(0))" 
